Statistic Label,Year,County,UNIT,VALUE
Net Interest and Dividends (payments by households of interest are deducted from interest received by households),2021,Co. Clare,Euro Million,123.61
Net Interest and Dividends (payments by households of interest are deducted from interest received by households),2021,Co. Cork,Euro Million,679.59
Net Interest and Dividends (payments by households of interest are deducted from interest received by households),2021,Co. Donegal,Euro Million,116.07
Net Interest and Dividends (payments by households of interest are deducted from interest received by households),2021,Co. Dublin,Euro Million,2136.75
Net Interest and Dividends (payments by households of interest are deducted from interest received by households),2021,Co. Galway,Euro Million,298.72
Net Interest and Dividends (payments by households of interest are deducted from interest received by households),2021,Co. Kerry,Euro Million,140.23
Net Interest and Dividends (payments by households of interest are deducted from interest received by households),2021,Co. Kildare,Euro Million,292.83
Net Interest and Dividends (payments by households of interest are deducted from interest received by households),2021,Co. Kilkenny,Euro Million,92.15
Net Interest and Dividends (payments by households of interest are deducted from interest received by households),2021,Co. Laois,Euro Million,76.06
Net Interest and Dividends (payments by households of interest are deducted from interest received by households),2021,Co. Leitrim,Euro Million,28.69
Net Interest and Dividends (payments by households of interest are deducted from interest received by households),2021,Co. Limerick,Euro Million,233.54
Net Interest and Dividends (payments by households of interest are deducted from interest received by households),2021,Co. Longford,Euro Million,38.12
Net Interest and Dividends (payments by households of interest are deducted from interest received by households),2021,Co. Louth,Euro Million,139.44
Net Interest and Dividends (payments by households of interest are deducted from interest received by households),2021,Co. Mayo,Euro Million,124.15
Net Interest and Dividends (payments by households of interest are deducted from interest received by households),2021,Co. Meath,Euro Million,232.34
Net Interest and Dividends (payments by households of interest are deducted from interest received by households),2021,Co. Monaghan,Euro Million,57.47
Net Interest and Dividends (payments by households of interest are deducted from interest received by households),2021,Co. Offaly,Euro Million,70.24
Net Interest and Dividends (payments by households of interest are deducted from interest received by households),2021,Co. Roscommon,Euro Million,58.18
Net Interest and Dividends (payments by households of interest are deducted from interest received by households),2021,Co. Sligo,Euro Million,62.46
Net Interest and Dividends (payments by households of interest are deducted from interest received by households),2021,Co. Tipperary,Euro Million,166.95
Net Interest and Dividends (payments by households of interest are deducted from interest received by households),2021,Co. Waterford,Euro Million,123.45
Net Interest and Dividends (payments by households of interest are deducted from interest received by households),2021,Co. Westmeath,Euro Million,99.27
Net Interest and Dividends (payments by households of interest are deducted from interest received by households),2021,Co. Wexford,Euro Million,143.03
Net Interest and Dividends (payments by households of interest are deducted from interest received by households),2021,Co. Wicklow,Euro Million,184.27
Primary Income,2021,Ireland,Euro Million,144731.67
Primary Income,2021,Co. Carlow,Euro Million,1509.46
Primary Income,2021,Co. Cavan,Euro Million,1751.75
Primary Income,2021,Co. Clare,Euro Million,3058.58
Primary Income,2021,Co. Cork,Euro Million,16814.93
Primary Income,2021,Co. Donegal,Euro Million,2871.83
Primary Income,2021,Co. Dublin,Euro Million,52869.27
Primary Income,2021,Co. Galway,Euro Million,7391.24
Primary Income,2021,Co. Kerry,Euro Million,3469.59
Primary Income,2021,Co. Kildare,Euro Million,7245.54
Primary Income,2021,Co. Kilkenny,Euro Million,2279.95
Primary Income,2021,Co. Laois,Euro Million,1881.94
Primary Income,2021,Co. Leitrim,Euro Million,709.97
Primary Income,2021,Co. Limerick,Euro Million,5778.51
Primary Income,2021,Co. Longford,Euro Million,943.31
Primary Income,2021,Co. Louth,Euro Million,3450.22
Primary Income,2021,Co. Mayo,Euro Million,3071.75
Primary Income,2021,Co. Meath,Euro Million,5748.85
Primary Income,2021,Co. Monaghan,Euro Million,1421.99
Primary Income,2021,Co. Offaly,Euro Million,1737.92
Primary Income,2021,Co. Roscommon,Euro Million,1439.56
Primary Income,2021,Co. Sligo,Euro Million,1545.46
Primary Income,2021,Co. Tipperary,Euro Million,4130.87
Primary Income,2021,Co. Waterford,Euro Million,3054.6
Primary Income,2021,Co. Westmeath,Euro Million,2456.3
Primary Income,2021,Co. Wexford,Euro Million,3538.93
Primary Income,2021,Co. Wicklow,Euro Million,4559.34
Social Benefits and Other Current Transfers,2021,Ireland,Euro Million,35326.14
Social Benefits and Other Current Transfers,2021,Co. Carlow,Euro Million,522.84
Social Benefits and Other Current Transfers,2021,Co. Cavan,Euro Million,582.04
Social Benefits and Other Current Transfers,2021,Co. Clare,Euro Million,834.17
Social Benefits and Other Current Transfers,2021,Co. Cork,Euro Million,3896.19
Social Benefits and Other Current Transfers,2021,Co. Donegal,Euro Million,1370.6
Social Benefits and Other Current Transfers,2021,Co. Dublin,Euro Million,9050.91
Social Benefits and Other Current Transfers,2021,Co. Galway,Euro Million,1825.5
Social Benefits and Other Current Transfers,2021,Co. Kerry,Euro Million,1200.2
Social Benefits and Other Current Transfers,2021,Co. Kildare,Euro Million,1498.33
Social Benefits and Other Current Transfers,2021,Co. Kilkenny,Euro Million,646.95
Social Benefits and Other Current Transfers,2021,Co. Laois,Euro Million,597.71
Social Benefits and Other Current Transfers,2021,Co. Leitrim,Euro Million,270.96
Social Benefits and Other Current Transfers,2021,Co. Limerick,Euro Million,1579.43
Social Benefits and Other Current Transfers,2021,Co. Longford,Euro Million,382.02
Social Benefits and Other Current Transfers,2021,Co. Louth,Euro Million,1146.06
Social Benefits and Other Current Transfers,2021,Co. Mayo,Euro Million,1062.96
Social Benefits and Other Current Transfers,2021,Co. Meath,Euro Million,1296.8
Social Benefits and Other Current Transfers,2021,Co. Monaghan,Euro Million,472.21
Social Benefits and Other Current Transfers,2021,Co. Offaly,Euro Million,622.17
Social Benefits and Other Current Transfers,2021,Co. Roscommon,Euro Million,498.18
Social Benefits and Other Current Transfers,2021,Co. Sligo,Euro Million,509.56
Social Benefits and Other Current Transfers,2021,Co. Tipperary,Euro Million,1346.3
Social Benefits and Other Current Transfers,2021,Co. Waterford,Euro Million,996.74
Social Benefits and Other Current Transfers,2021,Co. Westmeath,Euro Million,743.49
Social Benefits and Other Current Transfers,2021,Co. Wexford,Euro Million,1324.9
Social Benefits and Other Current Transfers,2021,Co. Wicklow,Euro Million,1048.93
Total Household Income,2021,Ireland,Euro Million,180057.81
Total Household Income,2021,Co. Carlow,Euro Million,2032.3
Total Household Income,2021,Co. Cavan,Euro Million,2333.79
Total Household Income,2021,Co. Clare,Euro Million,3892.75
Total Household Income,2021,Co. Cork,Euro Million,20711.12
Total Household Income,2021,Co. Donegal,Euro Million,4242.44
Total Household Income,2021,Co. Dublin,Euro Million,61920.18
Total Household Income,2021,Co. Galway,Euro Million,9216.74
Total Household Income,2021,Co. Kerry,Euro Million,4669.78
Total Household Income,2021,Co. Kildare,Euro Million,8743.87
Total Household Income,2021,Co. Kilkenny,Euro Million,2926.9
Total Household Income,2021,Co. Laois,Euro Million,2479.65
Total Household Income,2021,Co. Leitrim,Euro Million,980.93
Total Household Income,2021,Co. Limerick,Euro Million,7357.94
Total Household Income,2021,Co. Longford,Euro Million,1325.33
Total Household Income,2021,Co. Louth,Euro Million,4596.28
Total Household Income,2021,Co. Mayo,Euro Million,4134.7
Total Household Income,2021,Co. Meath,Euro Million,7045.65
Total Household Income,2021,Co. Monaghan,Euro Million,1894.2
Total Household Income,2021,Co. Offaly,Euro Million,2360.1
Total Household Income,2021,Co. Roscommon,Euro Million,1937.74
Total Household Income,2021,Co. Sligo,Euro Million,2055.02
Total Household Income,2021,Co. Tipperary,Euro Million,5477.17
Total Household Income,2021,Co. Waterford,Euro Million,4051.33
Total Household Income,2021,Co. Westmeath,Euro Million,3199.79
Total Household Income,2021,Co. Wexford,Euro Million,4863.83
Total Household Income,2021,Co. Wicklow,Euro Million,5608.27
Total Income per Person,2021,Ireland,Euro,35877.9
Total Income per Person,2021,Co. Carlow,Euro,33820.32
Total Income per Person,2021,Co. Cavan,Euro,29136.06
Total Income per Person,2021,Co. Clare,Euro,31142.75
Total Income per Person,2021,Co. Cork,Euro,36257.93
Total Income per Person,2021,Co. Donegal,Euro,25524
Total Income per Person,2021,Co. Dublin,Euro,43622.9
Total Income per Person,2021,Co. Galway,Euro,33834.88
Total Income per Person,2021,Co. Kerry,Euro,30158.58
Total Income per Person,2021,Co. Kildare,Euro,37045.17
Total Income per Person,2021,Co. Kilkenny,Euro,28203.83
Total Income per Person,2021,Co. Laois,Euro,27721.82
Total Income per Person,2021,Co. Leitrim,Euro,28972.48
Total Income per Person,2021,Co. Limerick,Euro,35791.86
Total Income per Person,2021,Co. Longford,Euro,30358.72
Total Income per Person,2021,Co. Louth,Euro,33922.54
Total Income per Person,2021,Co. Mayo,Euro,30224.57
Total Income per Person,2021,Co. Meath,Euro,33872.77
Total Income per Person,2021,Co. Monaghan,Euro,29429.32
Total Income per Person,2021,Co. Offaly,Euro,28783.04
Total Income per Person,2021,Co. Roscommon,Euro,28462.35
Total Income per Person,2021,Co. Sligo,Euro,29879.7
Total Income per Person,2021,Co. Tipperary,Euro,32585.33
Total Income per Person,2021,Co. Waterford,Euro,32883.18
Total Income per Person,2021,Co. Westmeath,Euro,34296.7
Total Income per Person,2021,Co. Wexford,Euro,30726.35
Total Income per Person,2021,Co. Wicklow,Euro,37244.32
Index of Total Income per Person,2021,Ireland,State=100,100
Index of Total Income per Person,2021,Co. Carlow,State=100,94.27
Index of Total Income per Person,2021,Co. Cavan,State=100,81.21
Index of Total Income per Person,2021,Co. Clare,State=100,86.8
Index of Total Income per Person,2021,Co. Cork,State=100,101.06
Index of Total Income per Person,2021,Co. Donegal,State=100,71.14
Index of Total Income per Person,2021,Co. Dublin,State=100,121.59
Index of Total Income per Person,2021,Co. Galway,State=100,94.31
Index of Total Income per Person,2021,Co. Kerry,State=100,84.06
Index of Total Income per Person,2021,Co. Kildare,State=100,103.25
Index of Total Income per Person,2021,Co. Kilkenny,State=100,78.61
Index of Total Income per Person,2021,Co. Laois,State=100,77.27
Index of Total Income per Person,2021,Co. Leitrim,State=100,80.75
Index of Total Income per Person,2021,Co. Limerick,State=100,99.76
Index of Total Income per Person,2021,Co. Longford,State=100,84.62
Index of Total Income per Person,2021,Co. Louth,State=100,94.55
Index of Total Income per Person,2021,Co. Mayo,State=100,84.24
Index of Total Income per Person,2021,Co. Meath,State=100,94.41
Index of Total Income per Person,2021,Co. Monaghan,State=100,82.03
Index of Total Income per Person,2021,Co. Offaly,State=100,80.23
Index of Total Income per Person,2021,Co. Roscommon,State=100,79.33
Index of Total Income per Person,2021,Co. Sligo,State=100,83.28
Index of Total Income per Person,2021,Co. Tipperary,State=100,90.82
Index of Total Income per Person,2021,Co. Waterford,State=100,91.65
Index of Total Income per Person,2021,Co. Westmeath,State=100,95.59
Index of Total Income per Person,2021,Co. Wexford,State=100,85.64
Index of Total Income per Person,2021,Co. Wicklow,State=100,103.81
Current Taxes on Income,2021,Ireland,Euro Million,30343.27
Current Taxes on Income,2021,Co. Carlow,Euro Million,268.12
Current Taxes on Income,2021,Co. Cavan,Euro Million,312.54
Current Taxes on Income,2021,Co. Clare,Euro Million,584.84
Current Taxes on Income,2021,Co. Cork,Euro Million,3478.44
Current Taxes on Income,2021,Co. Donegal,Euro Million,499.07
Current Taxes on Income,2021,Co. Dublin,Euro Million,12233.64
Current Taxes on Income,2021,Co. Galway,Euro Million,1418.27
Current Taxes on Income,2021,Co. Kerry,Euro Million,616.61
Current Taxes on Income,2021,Co. Kildare,Euro Million,1637.92
Current Taxes on Income,2021,Co. Kilkenny,Euro Million,451.62
Current Taxes on Income,2021,Co. Laois,Euro Million,365.14
Current Taxes on Income,2021,Co. Leitrim,Euro Million,129.9
Current Taxes on Income,2021,Co. Limerick,Euro Million,1086.39
Current Taxes on Income,2021,Co. Longford,Euro Million,162.76
Current Taxes on Income,2021,Co. Louth,Euro Million,671.06
Current Taxes on Income,2021,Co. Mayo,Euro Million,564.75
Current Taxes on Income,2021,Co. Meath,Euro Million,1251.44
Current Taxes on Income,2021,Co. Monaghan,Euro Million,240.31
Current Taxes on Income,2021,Co. Offaly,Euro Million,325.33
Current Taxes on Income,2021,Co. Roscommon,Euro Million,271.35
Current Taxes on Income,2021,Co. Sligo,Euro Million,304.1
Current Taxes on Income,2021,Co. Tipperary,Euro Million,750.24
Current Taxes on Income,2021,Co. Waterford,Euro Million,581.07
Current Taxes on Income,2021,Co. Westmeath,Euro Million,483.83
Current Taxes on Income,2021,Co. Wexford,Euro Million,628.39
Current Taxes on Income,2021,Co. Wicklow,Euro Million,1026.15
Disposable Household Income,2021,Ireland,Euro Million,122334.56
Disposable Household Income,2021,Co. Carlow,Euro Million,1478.63
Disposable Household Income,2021,Co. Cavan,Euro Million,1689.85
Disposable Household Income,2021,Co. Clare,Euro Million,2729.29
Disposable Household Income,2021,Co. Cork,Euro Million,14051.67
Disposable Household Income,2021,Co. Donegal,Euro Million,3200.08
Disposable Household Income,2021,Co. Dublin,Euro Million,39684.85
Disposable Household Income,2021,Co. Galway,Euro Million,6400.22
Disposable Household Income,2021,Co. Kerry,Euro Million,3396.81
Disposable Household Income,2021,Co. Kildare,Euro Million,5735.26
Disposable Household Income,2021,Co. Kilkenny,Euro Million,2043.97
Disposable Household Income,2021,Co. Laois,Euro Million,1758.49
Disposable Household Income,2021,Co. Leitrim,Euro Million,716.72
Disposable Household Income,2021,Co. Limerick,Euro Million,5178.38
Disposable Household Income,2021,Co. Longford,Euro Million,984.12
Disposable Household Income,2021,Co. Louth,Euro Million,3272.51
Disposable Household Income,2021,Co. Mayo,Euro Million,2988.85
Disposable Household Income,2021,Co. Meath,Euro Million,4706.65
Disposable Household Income,2021,Co. Monaghan,Euro Million,1384.88
Disposable Household Income,2021,Co. Offaly,Euro Million,1705.99
Disposable Household Income,2021,Co. Roscommon,Euro Million,1394.07
Disposable Household Income,2021,Co. Sligo,Euro Million,1458.55
Disposable Household Income,2021,Co. Tipperary,Euro Million,3945.46
Disposable Household Income,2021,Co. Waterford,Euro Million,2892.4
Disposable Household Income,2021,Co. Westmeath,Euro Million,2251.28
Disposable Household Income,2021,Co. Wexford,Euro Million,3565.96
Disposable Household Income,2021,Co. Wicklow,Euro Million,3719.6
Disposable Income per Person,2021,Ireland,Euro,24376.1
Disposable Income per Person,2021,Co. Carlow,Euro,24606.46
Disposable Income per Person,2021,Co. Cavan,Euro,21096.88
Disposable Income per Person,2021,Co. Clare,Euro,21834.88
Disposable Income per Person,2021,Co. Cork,Euro,24599.56
Disposable Income per Person,2021,Co. Donegal,Euro,19252.82
Disposable Income per Person,2021,Co. Dublin,Euro,27958.06
Disposable Income per Person,2021,Co. Galway,Euro,23495.35
Disposable Income per Person,2021,Co. Kerry,Euro,21937.4
Disposable Income per Person,2021,Co. Kildare,Euro,24298.59
Disposable Income per Person,2021,Co. Kilkenny,Euro,19695.82
Disposable Income per Person,2021,Co. Laois,Euro,19659.47
Disposable Income per Person,2021,Co. Leitrim,Euro,21168.81
Disposable Income per Person,2021,Co. Limerick,Euro,25189.64
Disposable Income per Person,2021,Co. Longford,Euro,22542.76
Disposable Income per Person,2021,Co. Louth,Euro,24152.58
Disposable Income per Person,2021,Co. Mayo,Euro,21848.41
